FACILITYID,flood_risk,wildfire_risk,lst_avg,percent_tree_cover,flood_risk_pcntl,wildfire_risk_pcntl,lst_avg_pcntl,percent_tree_cover_pcntl,climate_score,mean_ozone,avg_pm25,pesticides,trafficProx,mean_ozone_pcntl,avg_pm25_pcntl,pesticides_pcntl,trafficProx_pcntl,exposure_score,npl_prox,rmp_prox,haz_prox,npl_prox_pcntl,rmp_prox_pcntl,haz_prox_pcntl,effects_score,final_risk_score,final_risk_score_pcntl,FID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,SECURELVL,CAPACITY,SHAPE_Leng,GlobalID,CreationDa,Creator,EditDate,Editor,SHAPE_Le_1,SHAPE_Area
10006642,0,32.74285714285714,27.670000000000016,65.63995982790517,28.473019517795642,47.238605898123325,5.247285886610374,3.984921917070544,12.950045225855195,60.76570701599121,7.900000095367432,17.693111419677734,123.933748808316,49.78237214363438,66.25067824199674,71.63538873994638,84.15094339622642,66.77488238030834,0.09119957728343976,0.06676711606670684,0.1752712874295313,81.3941018766756,28.632707774798927,55.924932975871315,50.70143790375043,43.475455169971326,43.59249329758713,45,ABRAXAS ACADEMY,1000 ACADEMY DRIVE,MORGANTOWN,PA,19543,-999,(610) 913-8000,STATE,OPEN,81,BERKS,42011,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.geogroup.com/Portals/0/PREA_Certifications/Abraxas%20Academy%20Morgantown%20-%20PREA%20Auditor's%20Final%20Report%20_%203-23-17.pdf,2016-08-17,IMAGERY/OTHER,2020-01-28,https://abraxasyfs.com/abraxas-academy.html,JUVENILE,156,0.00935974199562,{CA12EE77-491E-4C44-AA4B-ED6779FA30BD},2022-01-07,HostedByHIFLD,2022-01-07,HostedByHIFLD,1156.2790640785167,4.143874685e-6
10000729,10.067418317712145,29.37837837837838,26.53000000000003,79.61788927429747,62.05510907003444,45.0402144772118,3.2569360675512664,0.2692514808831448,7.036170129700878,58.184030532836914,6.825000166893005,7.77121639251709,0,22.470076169749728,37.33043950081389,48.41823056300268,63.270440251572325,40.03772152114038,0.02260706876677915,0.04378623295040739,0.12636683671020071,45.20107238605898,17.962466487935657,47.39946380697051,33.7620943666944,26.945328672511884,8.096514745308312,55,YOUTH FORESTRY CAMP #3,4534 TARKILN ROAD,JAMES CREEK,PA,16657,-999,(814) 658-3492,STATE,OPEN,24,HUNTINGDON,42061,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.dhs.pa.gov/Services/Children/Pages/Forestry-Programs.aspx,2015-08-12,IMAGERY/OTHER,2020-01-31,https://www.dhs.pa.gov/Services/Children/Pages/Forestry-Programs.aspx,JUVENILE,50,0.0128657391144,{EDF0D340-4FE1-409D-AF04-E5A8CB9618C5},2022-01-07,HostedByHIFLD,2022-01-07,HostedByHIFLD,1569.2338010044134,6.984551286e-6
10002616,0,247.72727272727272,40.25000000000003,0,28.473019517795642,86.91689008042896,78.34740651387213,100,66.35758657397076,73.80851745605469,7.3750001192092896,18.84561061859131,44.549122237149405,97.225244831338415,53.0113944655453,72.65415549597856,75.9748427672956,73.03308325580123,0.01311834685144182,0.16133045597010923,0.45641971137729026,22.25201072386059,54.04825737265415,70.3485254691689,43.90041763517163,61.09702915498121,89.54423592493298,59,UTAH COUNTY JAIL,3075 N MAIN ST,SPANISH FORK,UT,84660,-999,(801) 851-4210,FEDERAL,OPEN,689,UTAH,49049,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.ice.gov/detention-facility/utah-county-jail,2018-05-03,IMAGERY/OTHER,2020-02-20,https://www.ice.gov/detention-facility/utah-county-jail,MAXIMUM,1019,0.0101826757674,{FE052DCD-BEF3-4EEF-9341-BA8A46EF7E11},2022-01-07,HostedByHIFLD,2022-01-07,HostedByHIFLD,1283.5517530054524,2.215421089e-6
10003486,0,136.19354838709677,43.410000000000025,3.798310734497768,28.473019517795642,75.71045576407506,87.99758745476478,72.59019924609585,60.91644283396562,64.7379379272461,6.233333349227905,1.0624472498893738,42.20149752791426,80.9575625680087,22.9517091698318,17.855227882037532,75.28301886792454,39.754264227616304,0.00249317105728575,0.1590698985746943,0.26789470424893425,0.8042895442359249,53.67292225201072,64.55764075067025,14.072516666299542,38.24774124262716,27.989276139410187,61,SOUTHWEST UTAH YOUTH CENTER,270 E 1600 N,CEDAR CITY,UT,84720,-999,(435) 867-2500,STATE,OPEN,13,IRON,49021,USA,922140,CORRECTIONAL INSTITUTIONS,https://hs.utah.gov/resource/south-west-utah-youth-center,2020-02-20,IMAGERY/OTHER,2020-02-20,https://hs.utah.gov/resource/south-west-utah-youth-center,JUVENILE,20,0.00426126110184,{8593EC3C-F08D-4234-A6B5-B565BBB63D2F},2022-01-07,HostedByHIFLD,2022-01-07,HostedByHIFLD,541.4610543287997,5.08757096e-7
10003455,13.012404214128972,35.25806451612903,43.09000000000003,0.09751212869621052,67.91044776119402,48.68632707774799,87.03256936067551,91.2762520193861,71.58891865821548,71.40049362182617,8.366666793823242,17.772114753723145,360.8472228335948,95.21218715995649,77.31958762886599,71.68900804289544,90.125786163522,83.04642220807219,0.22019760772954072,0.20902842319815612,0.09850876908937072,94.2627345844504,62.03753351206435,40.80428954423593,62.02500281794918,72.22011456141229,98.1769436997319,62,FARMINGTON BAY YOUTH CENTER,907 W CLARK LANE,FARMINGTON,UT,84025,-999,(801) 538-4171,STATE,OPEN,21,DAVIS,49011,USA,922140,CORRECTIONAL INSTITUTIONS,https://hs.utah.gov/resource/farmington-bay-youth-center,2020-02-20,IMAGERY/OTHER,2020-02-20,https://hs.utah.gov/resource/farmington-bay-youth-center,JUVENILE,42,0.00373273277373,{26C1B1EE-29FF-4175-B014-527EE0F0157F},2022-01-07,HostedByHIFLD,2022-01-07,HostedByHIFLD,475.6986875064644,5.25051012e-7
10003460,4.726235771660486,0.3793103448275862,NA,0.04374210402763993,49.540757749712974,7.6675603217158175,NA,92.83791060850834,32.79304422410944,70.08378219604492,9.688888867696129,0.8721257448196411,NA,94.069640914037,96.2561041779707,15.44235924932976,NA,51.90355913813418,0.19768827045178256,0.7744240869631025,3.5678690331120526,92.8686327077748,81.34048257372655,91.90348525469167,88.54606364661552,57.747555669619715,83.16353887399464,69,DECKER LAKE YOUTH CENTER,2310 W 2770 S,WEST VALLEY CITY,UT,84119,-999,(801) 954-9200,STATE,OPEN,18,SALT LAKE,49035,USA,922140,CORRECTIONAL INSTITUTIONS,https://hs.utah.gov/resource/decker-lake-youth-center,2020-02-20,IMAGERY/OTHER,2020-02-20,https://hs.utah.gov/resource/decker-lake-youth-center,JUVENILE,30,0.00677987533521,{822243AC-C199-4B0B-85C4-C4B888786055},2022-01-07,HostedByHIFLD,2022-01-07,HostedByHIFLD,840.3097151588435,1.229581198e-6
10003488,2.782416354784291,1956.6774193548388,NA,0.08208931638962377,42.47990815154994,98.12332439678283,NA,91.59935379644588,72.54643530850696,65.56236775716145,6.1249998807907104,0.8262526094913483,0,84.43960826985855,20.45577862181226,14.959785522788206,63.270440251572325,35.757908776348806,0.00259664085571321,0.07914739179205495,0.04906896378787281,0.8579088471849867,33.19034852546917,26.970509383378015,9.15757960875893,39.15397456453823,30.61662198391421,71,DIXIE AREA DETENTION CENTER / GATEWAY YOUTH CENTER,330 S 5300 W,HURRICANE,UT,84737,-999,(435) 627-2800,STATE,OPEN,10,WASHINGTON,49053,USA,922140,CORRECTIONAL INSTITUTIONS,https://jjs.utah.gov/services/detention,2020-02-20,IMAGERY/OTHER,2020-02-20,https://jjs.utah.gov/services/detention,JUVENILE,40,0.00363510318457,{44C5F1B2-3B1F-4461-91EE-C4476E7136AA},2022-01-07,HostedByHIFLD,2022-01-07,HostedByHIFLD,445.60275006178495,6.86677112e-7
10003483,0,77.44827586206897,49.25000000000006,0.8902652577543654,28.473019517795642,64.28954423592494,95.71773220747887,83.36025848142164,61.82033177378786,64.03681564331055,4.549999952316284,13.468545913696287,10.227566345817152,76.93144722524482,0.759631036353771,66.75603217158177,66.47798742138365,22.56673584441017,0.0245927868404746,0.21879271042605025,0.00553840259422287,48.47184986595175,63.05630026809651,0.37533512064343166,10.468370732993115,31.61847945039705,14.584450402144771,73,CANYONLANDS YOUTH HOME,244 W OLD RUIN RD,BLANDING,UT,84511,-999,(435) 678-3140,STATE,OPEN,3,SAN JUAN,49037,USA,922140,CORRECTIONAL INSTITUTIONS,https://hs.utah.gov/resource/canyonlands-youth-center,2020-02-20,IMAGERY/OTHER,2020-02-20,https://hs.utah.gov/resource/canyonlands-youth-center,JUVENILE,16,0.00380026133516,{56B2A64E-8112-4B6B-91EC-7A49E7FD90F6},2022-01-07,HostedByHIFLD,2022-01-07,HostedByHIFLD,477.73503622727503,3.50832849e-7
10003472,4.566127842377174,34.06666666666667,42.58000000000001,1.011780924552334,49.08151549942595,48.04289544235925,85.22316043425813,82.55250403877221,63.82028746956792,72.55461883544922,7.949999570846558,18.87147331237793,2124.2681345657284,96.30032644178456,67.11882799782963,72.76139410187668,97.73584905660375,82.33922146725762,0.01456365772015376,1.0291489578468322,0.892910918540716,27.1313672922252,85.7372654155496,78.33780160857908,56.694060483402815,67.61785647340945,96.46112600536192,74,SLATE CANYON YOUTH CENTER,1991 S STATE ST,PROVO,UT,84606,-999,(810) 342-7840,STATE,OPEN,43,UTAH,49049,USA,922140,CORRECTIONAL INSTITUTIONS,https://jjs.utah.gov/resource/slate-canyon-youth-center-2,2020-02-20,IMAGERY/OTHER,2020-02-20,https://jjs.utah.gov/resource/slate-canyon-youth-center-2,JUVENILE,70,0.00440162001326,{36DD03B5-52BD-454D-A218-55AD5CBDBD15},2022-01-07,HostedByHIFLD,2022-01-07,HostedByHIFLD,570.2098721355951,1.046869231e-6
10003479,0,93.86206896551724,NA,0.2674729717779501,28.473019517795642,68.31099195710456,NA,89.22994076467421,55.77996543141136,61.80990886688232,6.400000095367432,4.471323490142822,85.09819450845575,60.55495103373232,26.96690179055887,31.63538873994638,81.13207547169812,45.24666957684597,0.00409074548997728,0.02945772573485056,0.02397875496681797,2.5737265415549597,8.68632707774799,10.616621983914207,6.191487178544222,35.73937406226718,22.25201072386059,75,CENTRAL UTAH YOUTH CENTER,449 NO. HIGHWAY 89,RICHFIELD,UT,84701,-999,(435) 893-2340,STATE,OPEN,4,SEVIER,49041,USA,922140,CORRECTIONAL INSTITUTIONS,https://jjs.utah.gov/resource/central-utah-youth-center-2,2020-02-20,IMAGERY/OTHER,2020-02-20,https://jjs.utah.gov/resource/central-utah-youth-center-2,JUVENILE,16,0.00423739508587,{89343596-D9E0-4096-BF4A-2926D510B1E3},2022-01-07,HostedByHIFLD,2022-01-07,HostedByHIFLD,532.6528492684288,4.2303285e-7
